nombre,cx,cy,cz,sx,sy,sz
K01-1,820.59,616.68,19.88,21.65,86.61,21.65
J01-1,843.41,616.68,19.88,21.65,86.61,21.65
J01-2,843.41,616.68,45.61,21.65,86.61,21.65
K01-2,820.59,616.68,45.61,21.65,86.61,21.65
J01-4,843.41,616.68,96.73,21.65,86.61,21.65
K01-4,820.59,616.68,96.73,21.65,86.61,21.65
J01-3,843.41,616.68,71.0,21.65,86.61,21.65
K01-3,820.59,616.68,71.0,21.65,86.61,21.65
J02-2,843.41,707.93,45.61,21.65,86.61,21.65
K02-2,820.59,707.93,45.61,21.65,86.61,21.65
J02-4,843.41,707.93,96.73,21.65,86.61,21.65
J02-1,843.41,707.93,19.88,21.65,86.61,21.65
K02-1,820.59,707.93,19.88,21.65,86.61,21.65
K02-4,820.59,707.93,96.73,21.65,86.61,21.65
K02-3,820.59,707.93,71.0,21.65,86.61,21.65
J02-3,843.41,707.93,71.0,21.65,86.61,21.65
J03-2,843.41,802.38,45.61,21.65,86.61,21.65
K03-2,820.59,802.38,45.61,21.65,86.61,21.65
J03-4,843.41,802.38,96.73,21.65,86.61,21.65
J04-2,843.41,893.63,45.61,21.65,86.61,21.65
J03-1,843.41,802.38,19.88,21.65,86.61,21.65
K03-1,820.59,802.38,19.88,21.65,86.61,21.65
K04-2,820.59,893.63,45.61,21.65,86.61,21.65
K03-4,820.59,802.38,96.73,21.65,86.61,21.65
K03-3,820.59,802.38,71.0,21.65,86.61,21.65
K04-4,820.59,893.63,96.73,21.65,86.61,21.65
J04-3,843.41,893.63,71.0,21.65,86.61,21.65
K04-1,820.59,893.63,19.88,21.65,86.61,21.65
K04-3,820.59,893.63,71.0,21.65,86.61,21.65
J04-4,843.41,893.63,96.73,21.65,86.61,21.65
J04-1,843.41,893.63,19.88,21.65,86.61,21.65
J03-3,843.41,802.38,71.0,21.65,86.61,21.65
J05-2,843.41,985.93,45.61,21.65,86.61,21.65
K05-2,820.59,985.93,45.61,21.65,86.61,21.65
J05-4,843.41,985.93,96.73,21.65,86.61,21.65
J06-2,843.41,1077.17,45.61,21.65,86.61,21.65
J05-1,843.41,985.93,19.88,21.65,86.61,21.65
K05-1,820.59,985.93,19.88,21.65,86.61,21.65
K06-2,820.59,1077.17,45.61,21.65,86.61,21.65
K05-4,820.59,985.93,96.73,21.65,86.61,21.65
K05-3,820.59,985.93,71.0,21.65,86.61,21.65
K06-4,820.59,1077.17,96.73,21.65,86.61,21.65
J06-3,843.41,1077.17,71.0,21.65,86.61,21.65
K06-1,820.59,1077.17,19.88,21.65,86.61,21.65
K06-3,820.59,1077.17,71.0,21.65,86.61,21.65
J06-4,843.41,1077.17,96.73,21.65,86.61,21.65
J06-1,843.41,1077.17,19.88,21.65,86.61,21.65
J05-3,843.41,985.93,71.0,21.65,86.61,21.65
J07-2,843.41,1171.09,45.61,21.65,86.61,21.65
K07-2,820.59,1171.09,45.61,21.65,86.61,21.65
J07-4,843.41,1171.09,96.73,21.65,86.61,21.65
J07-1,843.41,1171.09,19.88,21.65,86.61,21.65
K07-1,820.59,1171.09,19.88,21.65,86.61,21.65
K07-4,820.59,1171.09,96.73,21.65,86.61,21.65
K07-3,820.59,1171.09,71.0,21.65,86.61,21.65
J07-3,843.41,1171.09,71.0,21.65,86.61,21.65
J05-5,843.41,985.93,122.0,21.65,86.61,21.65
